OBJECTID;CODIGO;NOMBRE;CATEGORIA;TECNOLOGIA;FECHA_INSTALACION;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERATIVA;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;SUBZONA_HIDROGRAFICA;CORRIENTE;altitudDEM;ID_REG;LimSup;LimSupD_PT;NThsnPol
17;47077010;CHORRERA LA [47077010];Limnimétrica;Convencional;15/10/1985 0:00:00;160;-1.444611111;-72.789583329999999;Amazonas;La Chorrera;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Igará-Paraná;Igara Parana;112;26;287.5;263.505185830000016;T1326
18;44157040;MANACARO [44157040];Limnimétrica;Convencional;15/04/1984 0:00:00;109;-1.53;-70.180000000000007;Amazonas;La Pedrera;Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;Caqueta;64;26;287.5;172.5;T1298
19;47047020;PUERTO TOLOZA [47047020];Limnimétrica;Convencional;15/04/1986 0:00:00;135;-1.049500000;-74.068500000;Amazonas;Puerto Alegría;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Directos (mi);Putumayo;148;26;287.5;256.148865600000022;T1325
20;47040040;REMOLINO [47040040];Pluviométrica;Convencional;15/04/1986 0:00:00;130;-1.258944444;-73.618944440000007;Amazonas;Puerto Alegría;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Directos (mi);;140;26;287.5;172.5;T1323
21;44167010;QUINCHE [44167010];Limnimétrica;Convencional;15/04/1984 0:00:00;125;-0.932361111;-71.776583333000005;Amazonas;Mirití-Paraná (Campoamor);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;Caqueta;92;26;287.5;171.210470500000014;T1295
22;44167020;SANTA ISABEL [44167020];Limnimétrica;Convencional;15/04/1984 0:00:00;118;-1.098083333;-71.124055556000002;Amazonas;Santander (Araracuara);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;Caqueta;86;26;287.5;200.888927599999988;T1299
23;44157020;MIRANAS LAS [44157020];Limnimétrica;Convencional;15/04/1984 0:00:00;116;-1.31;-70.819999999999993;Amazonas;Mirití-Paraná (Campoamor);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;Caqueta;93;26;287.5;223.590103550000009;T1296
24;44157030;MARIA MANTECA [44157030];Limnimétrica;Convencional;15/04/1984 0:00:00;114;-1.42;-70.609999999999999;Amazonas;Mirití-Paraná (Campoamor);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;Caqueta;73;26;287.5;178.174922250000009;T1297
25;44187030;BACURI [44187030];Limnimétrica;Convencional;15/05/1984 0:00:00;101;-1.23;-69.469999999999999;Amazonas;La Pedrera;Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;Caqueta;100;26;287.5;157.521098200000012;T1302
26;44187020;PEDRERA LA [44187020];Pluviométrica;Convencional;15/05/1984 0:00:00;102;-1.313166667;-69.591583330000006;Amazonas;La Pedrera;Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;Caqueta;61;26;287.5;178.235933200000005;T1301
27;47017190;BELLAVISTA [47017190];Limnimétrica;Convencional;18/08/2007 0:00:00;185;-0.387694444;-74.579333329999997;Putumayo;Puerto Leguízamo;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Directos (mi);Putumayo;173;26;287.5;235.612448499999999;T1322
28;47040020;EL REFUGIO [47040020];Pluviométrica;Convencional;15/04/1986 0:00:00;140;-0.559166667;-74.386666667;Amazonas;Puerto Alegría;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Directos (mi);;159;26;287.5;235.612448499999999;T1322
29;44127010;ESTRECHOS LOS [44127010];Limnimétrica;Convencional;15/04/1984 0:00:00;139;-0.49;-73.530000000000001;Caqueta;Solano;Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Medio;Caqueta;141;26;287.5;229.304652500000003;T1291
30;44147020;CUEMANI [44147020];Limnimétrica;Convencional;15/04/1989 0:00:00;137;-0.525000000;-73.034999999999997;Caqueta;Solano;Area Operativa 04 - Huila-Caquetá;Amazonas;Yarí;Río Cuñare;Caqueta;138;26;287.5;233.229903799999988;T1293
31;44137070;MONOCHOA [44137070];Limnimétrica;Convencional;15/04/1984 0:00:00;133;-0.7;-72.549997222000002;Amazonas;Santander (Araracuara);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;Caqueta;131;26;287.5;172.5;T1294
32;44135010;ARARACUARA [44135010];Climática Principal;Convencional;15/03/1979 0:00:00;150;-0.616361111;-72.381916669999995;Caqueta;Solano;Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;;107;26;287.5;221.780124760000007;T1292
33;44137080;PUERTO LAS BRISAS [44137080];Limnimétrica;Convencional;15/04/1984 0:00:00;132;-0.6;-72.469999999999999;Caqueta;Solano;Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;Caqueta;123;26;287.5;286.587900499999989;T1551
34;44157010;MERCEDES LAS [44157010];Limnimétrica;Convencional;15/04/1986 0:00:00;123;-0.638444444;-72.344750000000005;Amazonas;Santander (Araracuara);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;Caqueta;105;26;287.5;221.780124760000007;T1292
35;44150010;AGUAZUL [44150010];Pluviométrica;Convencional;15/04/1984 0:00:00;129;-0.559888889;-72.144944440000003;Amazonas;Santander (Araracuara);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Bajo;;106;26;287.5;171.210470500000014;T1295
36;47035020;PUERTO OSPINA [47035020];Climática Ordinaria;Convencional;15/05/1986 0:00:00;190;0.132861111;-75.851111110000005;Putumayo;Puerto Leguízamo;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Medio;;0;26;287.5;161;T1321
37;47030020;CONCEPCION [47030020];Pluviométrica;Convencional;15/08/1983 0:00:00;195;0.046944444;-75.629722220000005;Putumayo;Puerto Leguízamo;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Medio;;0;26;287.5;161;T1321
38;47045010;PUERTO LEGUIZAMO [47045010];Climática Ordinaria;Convencional;15/11/1973 0:00:00;147;-0.180611111;-74.776277780000001;Putumayo;Puerto Leguízamo;Area Operativa 07 - Nariño-Putumayo;Amazonas;Caquetá;Río Caqueta Medio;;192;26;287.5;157.316988724999987;T1324
39;47047050;PUERTO LEGUIZAMO [47047050];Limnigráfica;Convencional;15/05/1986 0:00:00;147;-0.199722222;-74.780111110000007;Putumayo;Puerto Leguízamo;Area Operativa 07 - Nariño-Putumayo;Amazonas;Caquetá;Río Caqueta Medio;Putumayo;179;26;287.5;157.316988724999987;T1324
40;44115020;TAGUA LA [44115020];Agrometeorológica;Convencional;15/12/1973 0:00:00;153;-0.060750000;-74.665222220000004;Putumayo;Puerto Leguízamo;Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Medio;;172;26;287.5;155.142047200000007;T1290
41;44117010;TAGUA LA [44117010];Limnimétrica;Convencional;15/04/1984 0:00:00;153;-0.057472222;-74.666944439999995;Putumayo;Puerto Leguízamo;Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Medio;Caqueta;162;26;287.5;155.142047200000007;T1290
42;44127020;UMANCIA [44127020];Limnimétrica;Convencional;15/04/1984 0:00:00;148;-0.2;-74.290000000000006;Putumayo;Puerto Leguízamo;Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Medio;Caqueta;152;26;287.5;174.554491100000007;T1289
43;44100010;CORDOBA [44100010];Pluviométrica;Convencional;15/04/1984 0:00:00;152;-0.114972222;-74.551833329999994;Caqueta;Solano;Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Río Caqueta Medio;;167;26;287.5;174.554491100000007;T1289
44;47020020;CHURUYACO [47020020];Pluviométrica;Convencional;15/04/1981 0:00:00;500;0.476972222;-77.099722220000004;Putumayo;Valle Del Guamuez (La Hormiga);Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río San_Miguel;;383;23;373.75;221.778175049999987;T1319
45;47017170;PICUDO EL [47017170];Limnigráfica;Automática con Telemetría. Convencional;15/09/1984 0:00:00;360;0.489222222;-76.835972221999995;Putumayo;Orito;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;Guamues;305;23;373.75;196.622945560000005;T1317
46;47017010;MUELLE EL [47017010];Limnimétrica;Convencional;15/05/1988 0:00:00;200;0.473638889;-76.481250000000003;Putumayo;Puerto Asís;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;Putumayo;248;23;373.75;170.094064300000014;T1307
47;47010220;EL PICUDO [47010220];Pluviométrica;Convencional;15/11/1985 0:00:00;385;0.489722222;-76.836277777999996;Putumayo;Orito;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;Guamues;309;23;373.75;196.657946269999997;T1313
48;47010030;PUERTO ASIS [47010030];Pluviométrica;Convencional;15/06/1959 0:00:00;260;0.473611111;-76.480222220000002;Putumayo;Puerto Asís;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;;253;23;373.75;170.094064300000014;T1307
49;47010110;PUERTO CAICEDO [47010110];Pluviométrica;Convencional;15/10/1978 0:00:00;300;0.685916667;-76.605166670000003;Putumayo;Puerto Caicedo;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;;274;23;373.75;236.548476394999994;T1310
50;47020010;SAN MIGUEL [47020010];Pluviométrica;Convencional;15/04/1981 0:00:00;500;0.279277778;-76.927250000000001;Putumayo;San Miguel (La Dorada);Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río San_Miguel;;294;23;373.75;332.537775679999982;T1318
51;47017200;NARANJOS LOS [47017200];Limnimétrica;Convencional;14/08/2007 0:00:00;245;0.384333333;-76.396805560000004;Putumayo;Puerto Asís;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;Putumayo;0;;;206.532214500000009;T1320
52;47030010;ANGOSTURAS [47030010];Pluviométrica;Convencional;15/04/1981 0:00:00;200;0.395416667;-76.336138890000001;Putumayo;Puerto Asís;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Medio;;0;23;373.75;206.532214500000009;T1320
53;47030030;SAN JOAQUIN [47030030];Pluviométrica;Convencional;15/03/1986 0:00:00;195;0.338111111;-76.078249999999997;Putumayo;Puerto Leguízamo;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Medio;;0;23;373.75;209.019676000000004;T1552
54;51027050;PIPIGUAY [51027050];Limnigráfica;Automática con Telemetría. Convencional;15/11/1980 0:00:00;420;1.236944444;-78.097222220000006;Nariño;Ricaurte;Area Operativa 07 - Nariño-Putumayo;Pacifico;Mira;Río Mira;Guiza;754;21;253;253.708220600000004;T1331
55;52045090;EL COMUN [52045090];Climática Ordinaria;Convencional;27/04/2007 0:00:00;3141;0.932638889;-77.629583330000003;Nariño;Pupiales;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;;3120;21;253;123.699056549999995;T1370
56;52057040;CARLOSAMA [52057040];Limnigráfica;Convencional;15/12/1955 0:00:00;2920;0.844166667;-77.685888890000001;Nariño;Cuaspud (Carlosama);Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;Blanco;2841;21;253;66.144310110000006;T1380
57;51027040;PALPIS [51027040];Limnimétrica;Convencional;15/05/1980 0:00:00;930;1.223722222;-78.053250000000006;Nariño;Ricaurte;Area Operativa 07 - Nariño-Putumayo;Pacifico;Mira;Río Mira;Guiza;935;21;253;253.708220600000004;T1331
58;52050110;CUMBAL [52050110];Pluviométrica;Convencional;15/01/1958 0:00:00;3115;0.908000000;-77.787111109999998;Nariño;Cumbal;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;;3112;21;253;90.199558850000003;T1371
59;52050130;CHILES [52050130];Pluviométrica;Convencional;15/07/1972 0:00:00;3100;0.811666667;-77.848333330000003;Nariño;Cumbal;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;;3170;21;253;100.393357455;T1373
60;52050100;GUALMATAN [52050100];Pluviométrica;Convencional;15/07/1972 0:00:00;2830;0.906666667;-77.581388889999999;Nariño;Gualmatán;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;;2905;21;253;123.699056549999995;T1370
61;52050190;SANTA ROSA POTOSI [52050190];Pluviométrica;Convencional;15/06/1995 0:00:00;2746;0.816250000;-77.568527779999997;Nariño;Potosí;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;;2672;21;253;123.699056549999995;T1370
62;52050050;GUACHAVES [52050050];Pluviométrica;Convencional;15/07/1972 0:00:00;2834;1.220638889;-77.679666670000003;Nariño;Santa Cruz (Guachavés);Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;;2634;21;253;173.683696379999986;T1366
63;52055230;AEROPUERTO SAN LUIS - AUT [52055230];Sinóptica Principal;Automática con Telemetría. Convencional;6/11/1997 0:00:00;2961;0.857083333;-77.677750000000003;Nariño;Aldana;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;;2962;21;253;66.144310110000006;T1380
64;52045010;OBONUCO [52045010];Agrometeorológica;Convencional;15/05/1953 0:00:00;2710;1.198222222;-77.303083330000007;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Juananbú;;2756;21;253;129.827502000000010;T1359
65;52055040;BOTANA [52055040];Agrometeorológica;Convencional;15/05/1979 0:00:00;2820;1.16;-77.278805555999995;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Juananbú;;2783;21;253;59.258230169999997;T1378
66;52045070;WILQUIPAMBA [52045070];Climática Ordinaria;Convencional;15/05/1990 0:00:00;2850;1.199998333;-77.189999999999998;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Juananbú;;2909;21;253;77.356248449999995;T1560
67;52045080;UNIVERSIDAD DE NARINO  - AUT [52045080];Climática Ordinaria;Automática con Telemetría. Convencional;13/04/2004 0:00:00;2626;1.23;-77.280000000000001;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Juananbú;;2530;21;253;129.827502000000010;T1359
68;52055030;BOMBONA [52055030];Climática Ordinaria;Convencional;15/09/1968 0:00:00;1493;1.184361111;-77.465111109999995;Nariño;Consacá;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;;1580;21;253;79.622749870000007;T1375
69;52055200;FUNES [52055200];Climática Ordinaria;Convencional;1/09/2009 0:00:00;2181;1.004222222;-77.445805559999997;Nariño;Funes;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;;2239;21;253;105.768509434999999;T1369
70;47015080;MONOPAMBA [47015080];Climática Ordinaria;Convencional;15/08/1983 0:00:00;1776;0.804916667;-77.303611110000006;Nariño;Puerres;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;;1704;22;362.25;141.889120139999989;T1315
71;47017020;LA COCHA [47017020];Limnigráfica;Convencional;15/02/1956 0:00:00;2850;0.989722222;-77.157222219999994;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;Guamues;2782;22;362.25;64.943443195;T1316
72;52047010;UNIVERSIDAD [52047010];Limnigráfica;Convencional;15/08/1970 0:00:00;2500;1.234333333;-77.292944439999999;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Juananbú;Pasto;2474;21;253;129.827502000000010;T1359
73;52047030;BOCATOMA CENTENARIO [52047030];Limnigráfica;Convencional;15/07/1988 0:00:00;2740;1.201388889;-77.247777780000007;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Juananbú;Pasto;2621;21;253;59.258230169999997;T1378
74;52057010;PILCUAN [52057010];Limnigráfica;Automática con Telemetría. Convencional;15/10/1979 0:00:00;1780;1.021777778;-77.472805559999998;Nariño;Imués;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;Guaitara;1763;21;253;105.768509434999999;T1369
75;47017110;MONOPAMBA  - AUT [47017110];Limnigráfica;Automática con Telemetría. Convencional;15/05/1980 0:00:00;1650;0.807777778;-77.306944439999995;Nariño;Puerres;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;Sucio;1854;22;362.25;141.889120139999989;T1315
76;47017580;SINDAMANOY [47017580];Limnimétrica;Convencional;15/06/1986 0:00:00;2820;1.135222222;-77.147194440000007;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;LAGUNA GUAMUEZ;2788;22;362.25;64.943443195;T1316
77;47017100;CANAL B [47017100];Limnimétrica;Convencional;15/02/1977 0:00:00;265;1.116388889;-76.978888889999993;Putumayo;Santiago;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;Quinchoa;2067;22;362.25;100.480452819999996;T1306
78;47010020;BALSAYACO [47010020];Pluviográfica;Convencional;15/03/1959 0:00:00;270;1.117888889;-76.981277779999999;Putumayo;Santiago;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;;2073;22;362.25;100.480452819999996;T1306
79;47010230;SANTA ISABEL [47010230];Pluviométrica;Convencional;15/05/1989 0:00:00;2719;0.990166667;-77.157361109999997;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;;2781;22;362.25;64.943443195;T1316
80;52040060;ROSAL DEL MONTE [52040060];Pluviométrica;Convencional;15/08/1972 0:00:00;2568;1.287305556;-77.174055559999999;Nariño;Buesaco;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Juananbú;;2545;21;253;104.490516159999999;T1356
81;52040070;NARINO [52040070];Pluviométrica;Convencional;15/07/1958 0:00:00;2590;1.282777778;-77.355000000000004;Nariño;Nariño;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Juananbú;;2502;21;253;172.071383499999996;T1357
82;52050120;PUERRES [52050120];Pluviométrica;Convencional;15/08/1971 0:00:00;2817;0.888250000;-77.502916670000005;Nariño;Puerres;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;;2782;21;253;161.289809429999991;T1372
83;52050040;SANDONA [52050040];Pluviométrica;Convencional;15/09/1963 0:00:00;20;1.322250000;-77.479194440000001;Nariño;Sandoná;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Río Guáitara;;1787;21;253;183.904207299999996;T1365
84;47010150;CARRIZAL [47010150];Pluviométrica;Convencional;15/05/1968 0:00:00;2300;1.136750000;-77.037305559999993;Putumayo;Santiago;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;;2459;22;362.25;172.192191000000008;T1311
85;47015040;MICHOACAN [47015040];Climática Ordinaria;Convencional;15/01/1977 0:00:00;2100;1.198277778;-76.960972220000002;Putumayo;Colón;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;;2096;22;362.25;91.742160799999994;T1314
86;47015070;PUERTO UMBRIA [47015070];Climática Ordinaria;Convencional;15/04/1983 0:00:00;362;0.838972222;-76.570444440000003;Putumayo;Villagarzón;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;;318;23;373.75;236.548476394999994;T1310
87;44015010;VILLAGARZON [44015010];Climática Principal;Convencional;15/08/1964 0:00:00;440;1.034250000;-76.619249999999994;Putumayo;Villagarzón;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;;441;23;373.75;278.309452080000028;T1278
88;47017150;JOYA LA [47017150];Limnigráfica;Convencional;15/06/1981 0:00:00;350;0.788750000;-76.579305559999995;Putumayo;Villagarzón;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;Guineo;306;23;373.75;236.548476394999994;T1310
89;44010040;MINCHOY [44010040];Pluviográfica;Convencional;15/11/1977 0:00:00;2300;1.202111111;-76.817083330000003;Putumayo;San Francisco;Area Operativa 07 - Nariño-Putumayo;Amazonas;Caquetá;Alto Caqueta;;2020;22;362.25;118.650711569999999;T1273
90;44010030;CAMPUCANA [44010030];Pluviométrica;Convencional;15/11/1977 0:00:00;1400;1.202500000;-76.680833329999999;Putumayo;Mocoa;Area Operativa 07 - Nariño-Putumayo;Amazonas;Caquetá;Alto Caqueta;;1031;22;362.25;184.541824800000001;T1272
91;44010090;CONDAGUA [44010090];Pluviométrica;Convencional;15/04/1981 0:00:00;500;1.280500000;-76.584194440000005;Putumayo;Mocoa;Area Operativa 07 - Nariño-Putumayo;Amazonas;Caquetá;Alto Caqueta;;670;22;362.25;148.238467250000014;T1275
92;44010110;PUERTO LIMON [44010110];Pluviométrica;Convencional;15/09/1984 0:00:00;430;1.026805556;-76.541527779999996;Putumayo;Mocoa;Area Operativa 07 - Nariño-Putumayo;Amazonas;Caquetá;Alto Caqueta;;323;23;373.75;221.893487160000006;T1277
93;44010080;SANTA LUCIA [44010080];Pluviométrica;Convencional;15/04/1981 0:00:00;500;0.961555556;-76.441361110000003;Putumayo;Puerto Guzmán;Area Operativa 07 - Nariño-Putumayo;Amazonas;Caquetá;Alto Caqueta;;283;23;373.75;305.641829599999994;T1274
94;44010120;PATOYACO [44010120];Pluviométrica;Convencional;15/07/1997 0:00:00;1620;1.217555556;-76.802166670000005;Putumayo;San Francisco;Area Operativa 07 - Nariño-Putumayo;Amazonas;Caquetá;Alto Caqueta;;1684;22;362.25;118.650711569999999;T1273
95;47010050;CHUNGACASPI [47010050];Pluviométrica;Convencional;15/05/1971 0:00:00;2100;1.134055556;-76.930250000000001;Putumayo;San Francisco;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Alto Río Putumayo;;2100;22;362.25;167.332325499999996;T1308
