CODIGO;NOMBRE;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INSTALACION;FECHA_SUSPENSION;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERATIVA;ENTIDAD;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;SUBZONA_HIDROGRAFICA;CORRIENTE;OBSERVACION;SUBRED
21145040;SAN ALFONSO [21145040];Agrometeorológica;Convencional;Activa;15/11/1963;;440;3.3733611110;-75.11011111;Huila;Villavieja;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Alto Magdalena;Río Cabrera;;;Alto Magdalena Huila -Tolima,RED ALERTAS - AREA OPERATIVA 04
35025110;LA LIBERTAD - AUT [35025110];Agrometeorológica;Automática con Telemetría, Convencional;Activa;25/03/2007;;336;4.0573611110;-73.46791667;Meta;Villavicencio;Area Operativa 03 - Meta-Guaviare-Guainía;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Orinoco;Meta;Río Negro;;Actualización Tecnología y Tipo de Transmisión por solicitud del coordinador del AO. (31012023);RED ALERTAS - AREA OPERATIVA 03,Radición Global,Radiación Visible,Radiación Ultravioleta,Piedemonte y Altillanura Meta-Csanare-Arauca
52045010;OBONUCO [52045010];Agrometeorológica;Convencional;Activa;15/05/1953;;2710;1.1982222220;-77.30308333;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Juananbú;;;RED ALERTAS - AREA OPERATIVA 07,Altiplano Nariñense-Pacifico,Radición Global,Radiación Ultravioleta,Radiación Visible
52055040;BOTANA [52055040];Agrometeorológica;Convencional;Activa;15/05/1979;;2820;1.16;-77.2788055560;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Juananbú;;Resultado del taller realizado con los coordinadores de las áreas operativas y coordinadores del nivel central, se toma la decisión de recrear la estación que había desparecido producto de la homologación realizada en junio de 2017;
16015020;ISER PAMPLONA [16015020];Agrometeorológica;Convencional;Activa;15/04/1972;;2340;7.3731111110;-72.6450;Norte De Santander;Pamplona;Area Operativa 08 - Santanderes-Arauca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Caribe;Catatumbo;Río Pamplonita;;;RED ALERTAS - AREA OPERATIVA 08,Norte de Santander, Oriente de Arauca y Nororiente
24025090;MOGOTES - AUT [24025090];Agrometeorológica;Automática con Telemetría, Convencional;Activa;25/10/2004;;1673;6.47;-72.96888889;Santander;Mogotes;Area Operativa 08 - Santanderes-Arauca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Sogamoso;Río Fonce;;;Radiación Ultravioleta,Radición Global,Radiación Visible
26075080;CENICANA [26075080];Agrometeorológica;Convencional;Activa;15/06/1981;;128;3.3604166670;-76.2997222220;Valle Del Cauca;Florida;Area Operativa 09 - Cauca-Valle-Caldas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Cauca;Río Guachal (Bolo - Fraile y Párraga);;Por REQ2021-000578 Se hacen ajustes solicitados por la Coordinadora del AO 09.;Valle geografico Rio Cauca,RED ALERTAS - AREA OPERATIVA 09
26075010;PALMIRA ICA [26075010];Agrometeorológica;Convencional;Activa;15/01/1930;;1018;3.5134722220;-76.3148888890;Valle Del Cauca;Palmira;Area Operativa 09 - Cauca-Valle-Caldas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Cauca;Ríos Amaime y Cerrito;;Por REQ2021-000578 Se hacen ajustes solicitados por la Coordinadora del AO 09.;RED ALERTAS - AREA OPERATIVA 09,Valle geografico Rio Cauca
44115020;TAGUA LA [44115020];Agrometeorológica;Convencional;Activa;15/12/1973;;153;-0.060750;-74.66522222;Putumayo;Puerto Leguízamo;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Medio;;;
31095030;PUERTO INIRIDA - AUT [31095030];Agrometeorológica;Automática con Telemetría, Convencional;Activa;27/03/2003;;100;3.8744166670;-67.9190555560;Guainía;Inírida;Area Operativa 03 - Meta-Guaviare-Guainía;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Orinoco;Inírida;R._Inírida_(mi),_hasta_bocas_Caño_Bocón,_y_R._Las Viñas;;Actualizada Tecnología y Tipo de Transmisión por solicitud del coordinador del AO. (31012023);RED ALERTAS - AREA OPERATIVA 03
23085030;ALEJANDRIA [23085030];Climática Ordinaria;Convencional;Activa;15/09/1988;;1712;6.376250;-75.14338889;Antioquia;Alejandría;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Medio Magdalena;Río Nare;;;RED ALERTAS - AREA OPERATIVA 01,Zona cafetera
27025030;ANORI [27025030];Climática Ordinaria;Convencional;Activa;15/05/1975;;1601;7.0719166670;-75.15052778;Antioquia;Anorí;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Nechí;Alto Nechí;;;
27015090;TULIO OSPINA [27015090];Climática Ordinaria;Convencional;Activa;15/09/1950;;1453;6.3196944440;-75.553250;Antioquia;Bello;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Nechí;Río Porce;;;Zona cafetera,RED ALERTAS - AREA OPERATIVA 01
11025010;MANSA LA [11025010];Climática Ordinaria;Convencional;Activa;15/07/1973;;2018;5.8783055560;-76.08433333;Antioquia;Ciudad Bolívar;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Caribe;Atrato - Darién;Alto Atrato;;;
27035050;SENA - EL BAGRE [27035050];Climática Ordinaria;Convencional;Activa;24/08/2017;;93;7.5846666670;-74.8006944440;Antioquia;El Bagre;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Nechí;Bajo Nechí (md);;Creación porque en la migración no se tuvo en cuenta.;
26175040;TUNEZ HACIENDA [26175040];Climática Ordinaria;Convencional;Activa;15/04/1975;;604;5.800250;-75.65097222;Antioquia;Fredonia;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Cauca;Directos Río Cauca  entre Río San Juan y  Pto Valdivia;;;Zona cafetera,RED ALERTAS - AREA OPERATIVA 01
11115040;MUSINGA AUT [11115040];Climática Ordinaria;Automática con Telemetría, Convencional;Activa;15/08/1984;;1396;6.7779722220;-76.20333333;Antioquia;Frontino;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Caribe;Atrato - Darién;Río Sucio;;Actualizada Tecnologia y Tipo de Transmision por solicitud del coordinador del AO. (24032023);
26195030;JARDIN EL [26195030];Climática Ordinaria;Convencional;Activa;15/06/1990;07/04/2022;2161;5.5877222220;-75.8005555560;Antioquia;Jardín;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Cauca;Río San Juan;Rio San Juan;"07/04/2022$Migracion$Por solicitud del coordinador del AO REQ 2022-002759. Se requiere cambiar el estado a ""SUSPENDIDA"" para la estación JARDÍN EL [26195030] de tecnologia convencional, fue desmantelada desde el año 2015|29/09/2022$Migracion$07/04/2022$Migracion$Por solicitud del coordinador del AO REQ 2022-002759. Se requiere cambiar el estado a ""SUSPENDIDA"" para la estación JARDÍN EL [26195030] de tecnologia convencional, fue desmantelada desde el año 2015|11/10/2022$Migracion$07/04/2022$Migracion$Por solicitud del coordinador del AO REQ 2022-002759. Se requiere cambiar el estado a ""SUSPENDIDA"" para la estación JARDÍN EL [26195030] de tecnologia convencional, fue desmantelada desde el año 2015|29/09/2022$Migracion$07/04/2022$Migracion$Por solicitud del coordinador del AO REQ 2022-002759. Se requiere cambiar el estado a ""SUSPENDIDA"" para la estación JARDÍN EL [26195030] de tecnologia convencional, fue desmantelada desde el año 2015|31/10/2022$Migracion$07/04/2022$Migracion$Por solicitud del coordinador del AO REQ 2022-002759. Se requiere cambiar el estado a ""SUSPENDIDA"" para la estación JARDÍN EL [26195030] de tecnologia convencional, fue desmantelada desde el año 2015|29/09/2022$Migracion$07/04/2022$Migracion$Por solicitud del coordinador del AO REQ 2022-002759. Se requiere cambiar el estado a ""SUSPENDIDA"" para la estación JARDÍN EL [26195030] de tecnologia convencional, fue desmantelada desde el año 2015|11/10/2022$Migracion$07/04/2022$Migracion$Por solicitud del coordinador del AO REQ 2022-002759. Se requiere cambiar el estado a ""SUSPENDIDA"" para la estación JARDÍN EL [26195030] de tecnologia convencional, fue desmantelada desde el año 2015|29/09/2022$Migracion$07/04/2022$Migracion$Por solicitud del coordinador del AO REQ 2022-002759. Se requiere cambiar el estado a ""SUSPENDIDA"" para la estación JARDÍN EL [26195030] de tecnologia convencional, fue desmantelada desde el año 2015";
26185020;MESOPOTAMIA [26185020];Climática Ordinaria;Convencional;Activa;15/06/1970;;2408;5.8863611110;-75.31863889;Antioquia;La Unión;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Cauca;Río Arma;;;Zona cafetera,RED ALERTAS - AREA OPERATIVA 01
12015010;VILLARTEAGA [12015010];Climática Ordinaria;Convencional;Activa;15/03/1972;;132;7.3346666670;-76.48602778;Antioquia;Mutatá;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Caribe;Caribe - Litoral;Río León;;;
12025030;MELLITO EL [12025030];Climática Ordinaria;Convencional;Activa;15/09/1983;;54;8.5426666670;-76.67336111;Antioquia;Necoclí;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Caribe;Caribe - Litoral;Río Mulatos y otros directos al Caribe;;;
23085110;PENOL EL [23085110];Climática Ordinaria;Convencional;Activa;15/06/1973;;2022;6.21388890;-75.2413888890;Antioquia;Peñol;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Medio Magdalena;Río Nare;;;Zona cafetera,RED ALERTAS - AREA OPERATIVA 01
23175020;AEROPUERTO OTU [23175020];Climática Ordinaria;Convencional;Activa;15/05/1940;;643;7.011750;-74.71630556;Antioquia;Remedios;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Medio Magdalena;Río Cimitarra y otros directos al Magdalena;;;RED DE ISOTOPIA AREA OPERATIVA 01,SINOPTICA
23085140;SAN FRANCISCO [23085140];Climática Ordinaria;Convencional;Activa;15/06/1973;;1325;5.9638055560;-75.10069444;Antioquia;San Francisco;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Medio Magdalena;Río Nare;;;Zona cafetera,RED ALERTAS - AREA OPERATIVA 01
23085160;CORRIENTES [23085160];Climática Ordinaria;Convencional;Activa;15/05/1975;;1965;6.3119444440;-75.25355556;Antioquia;San Vicente;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Medio Magdalena;Río Nare;;;
27015190;GUAYABITO [27015190];Climática Ordinaria;Convencional;Activa;15/05/1970;;1440;6.5403888890;-75.146750;Antioquia;Santo Domingo;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Nechí;Río Porce;;;
11075020;URRAO [11075020];Climática Ordinaria;Convencional;Activa;15/06/1973;;1833;6.2983055560;-76.1433055560;Antioquia;Urrao;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Caribe;Atrato - Darién;Río Murrí;;Orfeo 20177010004033;RED ALERTAS - AREA OPERATIVA 01,Zona cafetera
26255020;SANTA ISABEL [26255020];Climática Ordinaria;Convencional;Activa;15/05/1970;;1131;7.1572222220;-75.442275;Antioquia;Valdivia;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Cauca;Directos al Cauca entre Pto Valdivia y Río Nechí ;;Estación Homologada con STA ISABEL VALDIVIA AUT [26255030]. Datos Transferidos desde 15/05/1970. Sg/Criterio Estación STA ISABEL VALDIVIA AUT [26255030] Recodificada con código [26255020].|24/12/2021$Migracion$Solicitud Coordinador AO 01. Ajustes a Estaciones mediante correo electrónico 21122021. En la fecha no Opera la Mesa de Ayuda.;
23105030;VEGACHI [23105030];Climática Ordinaria;Convencional;Activa;15/04/1975;;990;6.7741111110;-74.79652778;Antioquia;Vegachí;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Medio Magdalena;Rió San Bartolo y otros directos al Magdalena Medio;;Corrección de tecnología, según información del área operativa 01. Es convencional ;Zona cafetera
29045110;JUAN DE ACOSTA [29045110];Climática Ordinaria;Convencional;Activa;15/01/1964;;20;10.83388889;-75.04611111;Atlantico;Juan De Acosta;Area Operativa 02 - Atlántico-Bolivar-Sucre;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Caribe;Caribe - Litoral;Arroyos Directos al Caribe;;Cambio Nombre por error en migración;
21201200;ESCUELA LA UNION [21201200];Climática Ordinaria;Convencional;Activa;01/08/2007;;3378;4.342640;-74.183810;Bogota;Bogota, D.C;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Alto Magdalena;Río Bogotá;;Solicitud realizada por el grupo de automatización y verificada por usuarios del área 11. Existe el PM convencional propiedad del IDEAM. El componente automático pertenece a FOPAE|03/11/2022$Migracion$DATOS ACTUALIZADOS A LA FECHA 03/11/2022, SEGÚN INFORMACIÓN ENVIADA POR IDIGER;
21201580;PASQUILLA [21201580];Climática Ordinaria;Convencional;Activa;01/09/2007;;2962;4.44647201;-74.154839;Bogota;Bogota, D.C;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Alto Magdalena;Río Bogotá;;Solicitud realizada por el grupo de automatización y verificada por usuarios del área 11. Existe el PM convencional propiedad del IDEAM. El componente automático es de FOPAE.|03/11/2022$Migracion$DATOS ACTUALIZADOS A LA FECHA 03/11/2022, SEGÚN INFORMACIÓN ENVIADA POR IDIGER;
21206260;C.UNIV.AGROP-UDCA [21206260];Climática Ordinaria;Convencional;Activa;15/12/1988;;2570;4.7986388890;-74.04972222;Bogota;Bogota, D.C;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Alto Magdalena;Río Bogotá;;;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 11
21206560;INEM KENNEDY [21206560];Climática Ordinaria;Convencional;Activa;15/07/1998;;2580;4.6611111110;-74.13477778;Bogota;Bogota, D.C;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Alto Magdalena;Río Bogotá;;;RED ALERTAS - AREA OPERATIVA 11,Altiplano Cundiboyacense y oriente de Santander
21206650;COLEGIO SAN CAYETANO [21206650];Climática Ordinaria;Convencional;Activa;15/11/2001;;3100;4.5167527780;-74.0882222220;Bogota;Bogota, D.C;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Alto Magdalena;Río Bogotá;;Deshomologar estaciones;RED ALERTAS - AREA OPERATIVA 11
29035030;PRESA AY GRANDE [29035030];Climática Ordinaria;Convencional;Activa;15/08/1969;;60;9.88;-75.33;Bolivar;María La Baja;Area Operativa 02 - Atlántico-Bolivar-Sucre;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Bajo Magdalena;Canal del Dique margen izquierda;;Estacion Homologada con PRESA AY GRANDE [29037100]. Datos Transferidos desde 15/10/1963.;RED ALERTAS - AREA OPERATIVA 02,Atlántico, Magdalena y Norte de Bolívar
29035040;NUEVA FLORIDA [29035040];Climática Ordinaria;Convencional;Activa;15/01/1963;;13;9.9441666670;-75.35138889;Bolivar;María La Baja;Area Operativa 02 - Atlántico-Bolivar-Sucre;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Bajo Magdalena;Canal del Dique margen izquierda;;SE CAMBIA CATEGORIA DE ESTACION A CO POR SOLICITUD DEL COORDINADOR DEL AO 02. REQ 2023-000225. (20012023);Atlántico, Magdalena y Norte de Bolívar,RED ALERTAS - AREA OPERATIVA 02
29035110;SAN PABLO [29035110];Climática Ordinaria;Convencional;Activa;15/10/1963;;20;10.04316667;-75.25861111;Bolivar;María La Baja;Area Operativa 02 - Atlántico-Bolivar-Sucre;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Bajo Magdalena;Canal del Dique margen izquierda;;;Atlántico, Magdalena y Norte de Bolívar,RED ALERTAS - AREA OPERATIVA 02
25025210;PINILLOS [25025210];Climática Ordinaria;Convencional;Activa;15/05/1974;;10;8.9113888890;-74.45777778;Bolivar;Pinillos;Area Operativa 02 - Atlántico-Bolivar-Sucre;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Bajo Magdalena;Directos Bajo Magdalena entre El Banco y El Plato;;;Atlántico, Magdalena y Norte de Bolívar,RED ALERTAS - AREA OPERATIVA 02
23205020;COL COOPERATIVO [23205020];Climática Ordinaria;Convencional;Activa;15/08/1974;;165;7.4750;-73.92555556;Bolivar;San Pablo;Area Operativa 08 - Santanderes-Arauca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Medio Magdalena;Directos al Magdalena (Brazo Morales);;;RED ALERTAS - AREA OPERATIVA 08,Magdalena Medio
23205030;SANTA ROSA D SIMITI [23205030];Climática Ordinaria;Convencional;Activa;15/10/1974;;650;7.9652777780;-74.05916667;Bolivar;Santa Rosa Del Sur;Area Operativa 08 - Santanderes-Arauca;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Medio Magdalena;Directos al Magdalena (Brazo Morales);;;RED DE ISOTOPIA AREA OPERATIVA 08,Magdalena Medio,RED ALERTAS - AREA OPERATIVA 08
35195060;TOQUILLA - AUT [35195060];Climática Ordinaria;Automática con Telemetría, Convencional;Activa;15/12/2016;;2950;5.5236111110;-72.79097222;Boyacá;Aquitania;Area Operativa 06 - Boyacá-Casanare-Vichada;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Orinoco;Meta;Río Cusiana;;;
24035020;BETEITIVA [24035020];Climática Ordinaria;Convencional;Activa;15/12/1981;;2575;5.9072777780;-72.81061111;Boyacá;Betéitiva;Area Operativa 06 - Boyacá-Casanare-Vichada;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Sogamoso;Río Chicamocha;;;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 06
35085050;CAMPOHERMOSO [35085050];Climática Ordinaria;Convencional;Activa;15/11/1986;;1300;5.0345;-73.10366667;Boyacá;Campohermoso;Area Operativa 06 - Boyacá-Casanare-Vichada;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Orinoco;Meta;Río Lengupá;;;RED ALERTAS - AREA OPERATIVA 06,Altiplano Cundiboyacense y oriente de Santander
