;OBJECTID;CODIGO;nombre;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INST;FECHA_SUSP;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERA;ENTIDAD;AREA_HIDRO;ZONA_HIDRO;SUBZONA_HI;altitudDEM;ID_REG;LimSupRPH;StationRPH;LimSupThsn;NThsnPol;LimInfTemp;LimSupTemp
31;32;44147020;CUEMANI [44147020];Limnimétrica;Convencional;Activa;15/04/1989; ;137;-0.525;-73.03499999999998;Caqueta;Solano;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Yarí;Río Cuñare;138;26;287.5;44137040;233.2299038;T1293;14.866563360881544;47.294786096256686
32;33;44135010;ARARACUARA [44135010];Climática Principal;Convencional;Activa;15/03/1979; ;150;-0.616361;-72.381917;Caqueta;Solano;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;107;26;287.5;44135010;221.78012476;T1292;15.133436639118457;47.50200534759359
33;34;44137080;PUERTO LAS BRISAS [44137080];Limnimétrica;Convencional;Activa;15/04/1984; ;132;-0.6;-72.47;Caqueta;Solano;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;123;26;287.5;44137080;286.5879005;T1551;14.995695592286504;47.39505347593583
34;35;44150010;AGUAZUL [44150010];Pluviométrica;Convencional;Activa;15/04/1984; ;129;-0.559889;-72.14494399999998;Amazonas;Santander (Araracuara);Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;106;26;287.5;44150010;171.2104705;T1295;15.142045454545455;47.5086898395722
35;36;44157010;MERCEDES LAS [44157010];Limnimétrica;Convencional;Activa;15/04/1986; ;123;-0.638444;-72.34475;Amazonas;Santander (Araracuara);Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;105;26;287.5;44135010;221.78012476;T1292;15.150654269972453;47.5153743315508
36;37;47030020;CONCEPCION [47030020];Pluviométrica;Convencional;Activa;15/08/1983; ;195;0.046944;-75.629722;Putumayo;Puerto Leguízamo;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Medio;0;26;287.5;47030020;161.0;T1321;16.054579889807165;48.217245989304814
37;38;47047050;PUERTO LEGUIZAMO [47047050];Limnigráfica;Convencional;Activa;15/05/1986; ;147;-0.199722;-74.780111;Putumayo;Puerto Leguízamo;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Medio;179;26;287.5;47045010;157.316988725;T1324;14.513601928374657;47.02072192513369
38;39;44100010;CORDOBA [44100010];Pluviométrica;Convencional;Activa;15/04/1984; ;152;-0.114972;-74.551833;Caqueta;Solano;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Medio;167;26;287.5;44100010;174.5544911;T1289;14.616907713498623;47.100935828877006
39;40;44115020;TAGUA LA [44115020];Agrometeorológica;Convencional;Activa;15/12/1973; ;153;-0.06075;-74.665222;Putumayo;Puerto Leguízamo;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Medio;172;26;287.5;44115020;155.1420472;T1290;14.573863636363637;47.06751336898396
40;41;44117010;TAGUA LA [44117010];Limnimétrica;Convencional;Activa;15/04/1984; ;153;-0.057472;-74.666944;Putumayo;Puerto Leguízamo;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Medio;162;26;287.5;44115020;155.1420472;T1290;14.65995179063361;47.13435828877005
41;42;44127020;UMANCIA [44127020];Limnimétrica;Convencional;Activa;15/04/1984; ;148;-0.2;-74.29;Putumayo;Puerto Leguízamo;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Medio;152;26;287.5;44100010;174.5544911;T1289;14.746039944903583;47.20120320855615
42;43;47020020;CHURUYACO [47020020];Pluviométrica;Convencional;Activa;15/04/1981; ;500;0.476972;-77.099722;Putumayo;Valle Del Guamuez (La Hormiga);Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río San_Miguel;383;23;373.75;47020020;221.77817505;T1319;12.75740358126722;45.65708556149733
43;44;47010030;PUERTO ASIS [47010030];Pluviométrica;Convencional;Activa;15/06/1959; ;260;0.473611;-76.480222;Putumayo;Puerto Asís;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Alto Río Putumayo;253;23;373.75;47010030;170.0940643;T1307;13.87654958677686;46.52606951871658
44;45;47010110;PUERTO CAICEDO [47010110];Pluviométrica;Convencional;Activa;15/10/1978; ;300;0.685917;-76.60516699999998;Putumayo;Puerto Caicedo;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Alto Río Putumayo;274;23;373.75;47010110;236.548476395;T1310;13.695764462809919;46.38569518716578
45;46;47010220;EL PICUDO [47010220];Pluviométrica;Convencional;Activa;15/11/1985; ;385;0.489722;-76.83627799999998;Putumayo;Orito;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Alto Río Putumayo;309;23;373.75;47010220;196.65794627;T1313;13.394455922865015;46.15173796791444
46;47;47017010;MUELLE EL [47017010];Limnimétrica;Convencional;Activa;15/05/1988; ;200;0.473639;-76.48125;Putumayo;Puerto Asís;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Alto Río Putumayo;248;23;373.75;47010030;170.0940643;T1307;13.919593663911847;46.55949197860963
47;48;47017160;PUENTE TEXAS AUT [47017160];Limnigráfica;Automática con Telemetría. Convencional;Activa;15/06/1981; ;250;0.582694;-76.57694399999998;Putumayo;Puerto Asís;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Alto Río Putumayo;255;23;373.75;47010110;236.548476395;T1310;13.859331955922865;46.51270053475936
48;49;47020010;SAN MIGUEL [47020010];Pluviométrica;Convencional;Activa;15/04/1981; ;500;0.279278;-76.92725;Putumayo;San Miguel (La Dorada);Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río San_Miguel;294;23;373.75;47020010;332.53777568;T1318;13.523588154269973;46.25200534759359
49;50;47017200;NARANJOS LOS [47017200];Limnimétrica;Convencional;Activa;14/08/2007; ;245;0.384333;-76.396806;Putumayo;Puerto Asís;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Alto Río Putumayo;0;23;373.75;47030010;206.5322145;T1320;16.054579889807165;48.217245989304814
50;51;47030010;ANGOSTURAS [47030010];Pluviométrica;Convencional;Activa;15/04/1981; ;200;0.395417;-76.336139;Putumayo;Puerto Asís;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Medio;0;23;373.75;47030010;206.5322145;T1320;16.054579889807165;48.217245989304814
51;52;47030030;SAN JOAQUIN [47030030];Pluviométrica;Convencional;Activa;15/03/1986; ;195;0.338111;-76.07824999999998;Putumayo;Puerto Leguízamo;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Medio;0;23;373.75;47030030;209.019676;T1552;16.054579889807165;48.217245989304814
52;53;51025080;ALTAQUER - AUT [51025080];Climática Principal;Automática con Telemetría. Convencional;Activa;27/02/2007; ;110;1.248333;-78.0925;Nariño;Barbacoas;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Mira;Río Mira;1004;21;253.0;51020010;253.7082206;T1331;7.411329201101929;41.50601604278075
53;54;51027050;PIPIGUAY [51027050];Limnigráfica;Automática con Telemetría. Convencional;Activa;15/11/1980; ;420;1.236944;-78.097222;Nariño;Ricaurte;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Mira;Río Mira;754;21;253.0;51020010;253.7082206;T1331;9.563533057851242;43.17713903743316
54;55;51027020;PILISPI AUT[51027020];Limnigráfica;Automática con Telemetría. Convencional;Activa;15/04/1980; ;1259;1.206083;-77.985139;Nariño;Ricaurte;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Mira;Río Mira;1178;21;253.0;51020010;253.7082206;T1331;5.913395316804409;40.34291443850268
55;56;51027040;PALPIS [51027040];Limnimétrica;Convencional;Activa;15/05/1980; ;930;1.223722;-78.05325;Nariño;Ricaurte;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Mira;Río Mira;935;21;253.0;51020010;253.7082206;T1331;8.00533746556474;41.967245989304814
56;57;52045090;EL COMUN [52045090];Climática Ordinaria;Convencional;Activa;27/04/2007; ;3141;0.932639;-77.62958299999998;Nariño;Pupiales;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Guáitara;3120;21;253.0;52050100;123.69905655;T1370;-10.804924242424242;27.361631016042782
57;58;52050050;GUACHAVES [52050050];Pluviométrica;Convencional;Activa;15/07/1972; ;2834;1.220639;-77.67966699999998;Nariño;Santa Cruz (Guachavés);Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Guáitara;2634;21;253.0;52050050;173.68369638;T1366;-6.621039944903581;30.61029411764706
58;59;52050100;GUALMATAN [52050100];Pluviométrica;Convencional;Activa;15/07/1972; ;2830;0.906667;-77.581389;Nariño;Gualmatán;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Guáitara;2905;21;253.0;52050100;123.69905655;T1370;-8.954028925619834;28.798796791443856
59;60;52050110;CUMBAL [52050110];Pluviométrica;Convencional;Activa;15/01/1958; ;3115;0.908;-77.78711099999998;Nariño;Cumbal;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Guáitara;3112;21;253.0;52050110;90.19955885;T1371;-10.736053719008265;27.41510695187166
60;61;52050130;CHILES [52050130];Pluviométrica;Convencional;Activa;15/07/1972; ;3100;0.811667;-77.84833299999998;Nariño;Cumbal;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Guáitara;3170;21;253.0;52050130;100.393357455;T1373;-11.235365013774103;27.027406417112303
61;62;52050190;SANTA ROSA POTOSI [52050190];Pluviométrica;Convencional;Activa;15/06/1995; ;2746;0.81625;-77.568528;Nariño;Potosí;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Guáitara;2672;21;253.0;52050100;123.69905655;T1370;-6.948174931129476;30.356283422459896
62;63;52055220;EL PARAISO - AUT [52055220];Climática Principal;Automática con Telemetría. Convencional;Activa;01/03/2004; ;3033;1.070708;-77.636936;Nariño;Túquerres;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Guáitara;3031;21;253.0;52055220;79.11333874;T1379;-10.038739669421487;27.956550802139038
63;64;52055230;AEROPUERTO SAN LUIS - AUT [52055230];Sinóptica Principal;Automática con Telemetría. Convencional;Activa;06/11/1997; ;2961;0.857083;-77.67775;Nariño;Aldana;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Guáitara;2962;21;253.0;52055230;66.14431011;T1380;-9.444731404958677;28.417780748663105
64;65;52057040;CARLOSAMA [52057040];Limnigráfica;Convencional;Activa;15/12/1955; ;2920;0.844167;-77.685889;Nariño;Cuaspud (Carlosama);Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Guáitara;2841;21;253.0;52055230;66.14431011;T1380;-8.403064738292011;29.226604278074866
65;66;52057100;RUMICHACA - AUT [52057100];Limnigráfica;Automática con Telemetría. Convencional;Activa;15/11/2016; ;2582;0.813786;-77.661978;Nariño;Ipiales;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Pacifico;Patía;Río Guáitara;2751;21;253.0;52055230;66.14431011;T1380;-7.628271349862258;29.828208556149733
